filename,card_name,card_type,hp,fortress_hp,attack,attack_buff,hp_buff,misc_stat,description,has_special,notes
3bladedscissorscopy.jpg,THREE BLADED SCISSORS,item_consumable,,,,3.0,,,"If you roll a 6, you miss and snip off -1 HP from your ally or yourself.",Y,The card is a consumable item with an attack buff and a special effect.
ALCOHOL_BUZZLER.jpg,ALCOHOL BUZZLER,item_consumable,,,,,1.0,status: SURGERY -,This device heals/adds +1 HP to entity at the end of each combat turn. HP can be boosted beyond base HP. Original HP resets after end of combat.,Y,The HP buff is based on the description stating it adds HP. The attack buff is explicitly stated as none.
AUTONOMOUS_APPLE.jpg,AUTONOMOUS APPLE,item_consumable,,,,,3.0,,This item heals one of your entities by +3 HP. You can play this card even if it is not equipped by the current entity in combat or it's not your turn.,N,The card is consumable and provides a specific HP buff.
AUTO_DOOMSCROLLER.jpg,AUTO-IRL DOOMSCROLLER,item_consumable,,,,-2.0,3.0,,"At the end of your attack turn, roll a 3 or below. If you hit, an enemy entity gets distracted and forgets to attack on their turn.",Y,"The attack buff is negative, indicating a reduction in attack from the entity. The HP buff adds to the entity's HP."
AVG_POLYGAMOUS_COUPLE.jpg,AVERAGE POLYCULE,entity,3.0,,4.0,,,status: FREE SMELLS,"If an enemy rolls a 6 when attacking this entity, they reveal one member of the polycule who is straight, killing this entity instantly.",Y,The HP and attack values are based on the pips shown in the respective boxes.
BABYS_FIRST_HOWITZER.jpg,BABY'S FIRST HOWITZER,item_consumable,,,,5.0,-1.0,status: EXPOSED,"If the entity wielding this weapon is killed, the killer can use it for a free extra attack before discarding it.",Y,"The HP buff indicates a negative effect, which is unusual but noted as -1."
BABYS_FIRST_MECH.jpg,BABY'S FIRST MECH,item_regular,,,,3.0,5.0,,You roll three attack dice instead of one. Each die that hits removes -1 HP from an enemy. You can target multiple enemies at once.,Y,"The attack buff is based on rolling three dice, and the HP buff is from the Uranium Armor. No specific HP or attack values are defined for the item itself."
BATHTUB_2.0.jpg,Electric Bathtub,item_consumable,,,,,,roll <=4,"Invite an enemy to take a bath. Roll a 4 or below. If you hit, both you and your enemy are killed by evil electrons. If you miss, you don't take a bath.",N,The card is consumable and does not have its own HP or attack values.
BILLYS_CASTLE.jpg,BILLY'S BIG CASTLE,fortress,,12.0,,0.0,-1.0,roll <=3,"Before your attacker's first attack, roll a 3 or below. If you hit, all enemies lose 1 HP from boiling oil.",Y,"The fortress has a total of 12 HP from the four dice showing 3 pips each. The attack buff is not present, and the HP buff indicates a loss of 1 HP for enemies."
BIYbrickcopy.jpg,BUILD-IT-YOURSELF BRICK,item_consumable,,,,,,,Draw cards from your deck until you get 3 equippable items. Distribute them across your team and return any unequippable cards to your deck.,N,The card is consumable as indicated by the text 'CONSUMABLE (DISCARD AFTER USE)'.
BLENDER_OF_EQUAL_EXCHANGE.jpg,BLENDER OF EQUAL EXCHANGE,item_consumable,,,,,,roll <=3,"You and your enemy hop into this blender. If you roll a 3 or below, both you and your enemy die. If you miss, your enemy only loses 1 HP and you die a gruesome death for no reason.",N,The card is consumable and does not have its own HP or attack values.
BREATHABLE_UNDEROOS.jpg,BREATHABLE UNDEROOS,item_consumable,,,,,3.0,,Two of your units can wear this item at the same time and it adds 3 to entity HP.,Y,The card is consumable as it provides a buff and has a special effect.
BRICK_STAND.jpg,NEIGHBORHOOD BRICK STAND,item_regular,,,,3.0,,roll <=2,"At the beginning of each combat round, roll a 2 or below. If you hit, draw and immediately equip/use a random card from your deck. If it is an entity/fortress, return it.",Y,The attack buff is based on the pips shown in the attack buff box. The card does not have its own HP or attack values.
Bratcopy.jpg,BRAT,entity,2.0,,3.0,,,,"In combat, allies can eat this entity, allowing all to regain +2 HP. In doing so, this entity dies.",N,The attack value is based on the roll of 3 pips shown in the attack box.
CALL_THE_BEES.jpg,CALL THE BEES,item_consumable,,,,,,roll <=5,"Roll a 5 or below to call bees that sting your enemy for 3 HP. If you miss, you lose 2 HP.",N,The card is consumable and does not have its own HP or attack values.
DESERT_ISLAND.jpg,BILLY IS STRANDED,entity,6.0,,,,,roll <=3,"At the end of your attacks, roll a 3 or below. If you hit, a shark bites an enemy and they lose 2 HP.",Y,The HP is calculated from the pips in the HP box. The attack and buffs are not applicable for entity cards.
DOUBLE_SIDED_PLUNGER.jpg,DOUBLE-SIDED PLUNGER,item_consumable,,,,,,roll <=5,"Roll a 5 or below to clog up your enemy fortress' sewage, forcing everyone to evacuate. The fortress becomes available for anyone to take.",N,The card is consumable and does not have a special header.
FAMOUS_ACTOR.jpg,FAMOUS ACTOR,entity,4.0,,3.0,,,occupation: FAMOUS,Everyone loves him because he's so famous and special.,N,
FISH_WALKING_ROBOT.jpg,FISH WALKING ROBOT,item_regular,,,,1.0,,status: NONE,"At the end of your attack turn, the Fish Walker heals all your surviving entities for +1 HP, without exceeding their base HP.",Y,"The attack buff is derived from the 'PHISHE OF DESPAIR' effect, while the HP buff is noted as 'NONE'."
GEAR_MECH_SUIT.jpg,GEAR MECH SUIT,item_regular,,,,-1.0,4.0,,This item adds 4 to the entity's HP but subtracts 1 from its attack.,N,"The card does not have a special header, and it is a regular item providing buffs."
GLOVE_BOT.jpg,GLOVE BOT,item_consumable,,,,,1.0,,"The GLOVE BOT makes gloves for all entities in combat, adding +1 HP to all entities' max hitpoints if equipped by an entity in combat.",Y,The HP buff is based on the description stating it adds +1 HP to entities. The card is classified as consumable due to the nature of the effect.
GUT_STABBER.jpg,GUT STABBER 9002,item_consumable,,,,1.0,,roll <=3,"Instead of attacking, you can roll a 3 or below. If you hit, you attach the Gut Stabber 9002 to your enemy, which removes -2 HP from them each combat round until removed.",Y,The attack buff is based on the text 'add +1 attack to entity'. The HP buff is explicitly stated as 'NONE'.
HAPPY_GUY.jpg,JUST A HAPPY GUY,entity,3.0,,,,,status: MEDICATED,Don't mind his eyes. They just do that sometimes.,N,The card does not have any special abilities or effects indicated by a special header.
HEDGWARD_CHEDDAR.jpg,HEDGEWARD CHEDDAR,entity,2.0,,2.0,,,,"At the end of your combat turn, roll a 2 or below. If you hit, you infect all enemies with the bubonic plague, causing them to lose 2 HP.",Y,The attack and HP values are based on the pips shown on the dice. The card has a special ability indicated by the yellow header.
HOMUNCULUS_PHAGE_STAGE.jpg,HOMUNCULUS: PHAGE STAGE,entity,1.0,,4.0,,,status: UNHOLY INFLUENCE,"At the end of your turn, you can roll a 3 or below. If you hit, you burrow into an enemy's ear canal. You cannot attack, but after each combat round, the enemy entity automatically loses 1 HP.",Y,The HP and attack values are based on the visible pips. The special ability is clearly indicated.
JIMMY_TWO_HATS.jpg,"JIMMY ""TWO HATS""",entity,3.0,,,,,roll <=4,Jimmy has a unique nickname related to his appearance.,N,"The attack value is not specified, so it is set to null."
JONATHAN_PORKTHANIEL.jpg,JONATHAN PORKTHANIEL,entity,2.0,,3.0,,,,"If an enemy rolls a 6 when attacking this entity, the game ends with no winner.",Y,"The attack value is based on the pips shown in the attack box, and the HP is based on the pips in the HP box."
Jitnamedbeckcopy.jpg,JIT NAMED BECK,entity,2.0,,3.0,,,,This entity has 2 HP and can attack with a roll of 3 or below.,N,"The attack value is based on the roll threshold, which is interpreted as 3."
LORD_FLUMPQUAT.jpg,LORD FLUMPUQAT,entity,3.0,,,,,roll <=3,"You can pay an enemy to switch sides and attack their own team on their turn, but one of your entities must discard an equipped item to do this.",Y,"The attack value is not specified, so it is set to null."
MICHAEL_WAVE.jpg,HANDHELD MICHAEL WAVE,item_consumable,,,,4.0,,status: NONE,"If you kill an enemy, you can eat him/her/it to recover up to +2 HP.",Y,The item has a special effect and is consumable.
MILITARY_BUS.jpg,COMBAT SCHOOL BUS,fortress,,8.0,,0.0,2.0,status: SPECIAL,"If you defeat all attackers, roll a 2 or below. If you hit, you destroy an enemy fortress and all entities inside (enemy's choice).",Y,"The fortress has a total of 8 HP from the pips in the HP box. The attack buff is not present, and the HP buff is 2 from the relevant dice. The special ability is indicated by the yellow header."
MOBILE_BURGER.jpg,MOBILE BURGER,item_consumable,,,,,4.0,,This item heals one of your entities by +4 HP and can be played even if not equipped by an entity in combat.,N,The card is clearly labeled as consumable and provides a specific HP buff.
MR_FLOUR.jpg,MISTER FLOUR,entity,4.0,,3.0,,,,Mister Flour can calm others with his chamomile flower. Roll a 3 or below at the end of your turn to make your enemy leave the battlefield without attacking.,Y,The HP and attack values are based on the visible pips on the dice. The special ability is indicated by the yellow header.
NUCLEAR_BRICK.jpg,Nuclear Brick,fortress,,8.0,,2.0,2.0,,"You can trigger a reactor meltdown by rolling a 3 or below. On hit, all entities on board die; on miss, only this fortress blows up.",Y,The fortress HP is calculated from the pips in the HP box (4+4=8). The attack buff and HP buff are from the respective buff boxes (2 each).
ONEILL_CYLINDER.jpg,O'Neill Cylinder,item_consumable,,,,1.0,1.0,,"At the end of your turn, roll a 1. If you hit, you vaporize an enemy with your laser.",Y,The card is consumable as it has a special effect and does not provide its own HP or attack.
POST-MODERN_CHAIR.jpg,POST-MODERN CHAIR,item_consumable,,,,,,,"Sitting in this chair makes you invisible to enemies. They cannot attack your entity if you don’t want them to. Conversely, you cannot attack enemies. This does not make you immune to area affect weapons.",Y,The card is a consumable item as indicated by the description and the presence of a SPECIAL header.
PYRAMID_OF_ILL_INTENT.jpg,PYRAMID OF ILL INTENT,fortress,,4.0,,3.0,2.0,status: SPECIAL,"At the end of the combat round, roll a 3 or below. If you hit, an equipped enemy item mysteriously disappears.",Y,"The fortress HP is based on the pips in the HP box, and the attack buff and HP buff are based on the respective dice. The special rule is clearly indicated."
RECON_CHICKEN.jpg,RECON CHICKEN,item_consumable,,,,,,roll <=5,"Allows you to look through the enemy's hand and call a drone strike on a chosen card. If you roll a 5 or below, that card is discarded.",N,The card is consumable and does not have its own HP or attack values.
SALES_SKULL.jpg,SALES SKULL,item_consumable,,,,,,,"Allows the player to draw 3 cards from the deck during combat. If a fortress is drawn, it is returned. Entities and items can be used immediately.",N,The card is consumable and does not provide any HP or attack stats.
